source_id,dataset_name,official_source,version,licence,download_date,original_labels,planned_use,citation
SRC01,UCI SMS Spam Collection,https://archive.ics.uci.edu/dataset/228/sms+spam+collection (Kaggle mirror: kaggle.com/datasets/uciml/sms-spam-collection-dataset),v1 (2011),Open for academic research (UCI); Kaggle mirror CC BY 4.0,2026-07-22,"ham (4827), spam (747)",Dataset 1 classifier corpus: ham->legitimate; spam->manual review->phishing/promotional_spam/uncertain,"Almeida, T.A., Gomez Hidalgo, J.M., Yamakami, A. (2011). Contributions to the study of SMS Spam Filtering. ACM DocEng'11."
SRC02,BanglaBarta (Bangalabarta) Bangla Spam/Smishing SMS,https://data.mendeley.com/datasets/jfkfbw3gzh/3 (DOI: 10.17632/jfkfbw3gzh.3),v3 (2026),"CC BY-NC-SA 4.0 (Attribution, Non-Commercial, ShareAlike)",2026-07-22,"smish (924), promo (924), normal (924)",Dataset 1 classifier corpus: smish->phishing; normal->legitimate; promo->promotional_spam,"Shahriyar, M.F., Tanbhir, G. Bangalabarta: A Spam/Smishing SMS Dataset (Bangla). Mendeley Data, V3, 2026."
